id	question1	question2	Answer1	Answer2	Answer3	Answer4
1	What is the step by step guide to invest in share market in india?	What is the step by step guide to invest in share market?	No similarity	Slight Similarity	Almost Identical	Identical
2	What is the story of Kohinoor (Koh-i-Noor) Diamond?	What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?	No similarity	Slight Similarity	Almost Identical	Identical
3	How can I increase the speed of my internet connection while using a VPN?	How can Internet speed be increased by hacking through DNS?	No similarity	Slight Similarity	Almost Identical	Identical
4	Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?	Which fish would survive in salt water?	No similarity	Slight Similarity	Almost Identical	Identical
5	Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?	I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?	No similarity	Slight Similarity	Almost Identical	Identical
6	Should I buy tiago?	What keeps childern active and far from phone and video games?	No similarity	Slight Similiraty	Almost Identical	Identical
7	How can I be a good geologist?	What should I do to be a great geologist?	No similarity	Slight Similiraty	Almost Identical	Identical
8	Method to find separation of slits using fresnel biprism?	What are some of the things technicians can tell about the durability and reliability of Laptops and its components?	No similarity	Slight Similarity	Almost Identical	Identical
9	I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?	I can't remember my Gmail password or my recovery email. How can I recover my e-mail?	No similarity	Slight Similarity	Almost Identical	Identical
10	What are the best ways to learn French?	How do I learn french genders?	No similarity	Slight Similiraty	Almost Identical	Identical
